epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5960.97,0.67624,0.41787,1.08164,0.99332,0.9953,0.99493,0.94012,0.41675,0.27169,0.88499,0.00420143,0.00420143,0.00420143
43,6103.43,0.66746,0.41433,1.07713,0.99256,0.99568,0.99492,0.94135,0.40922,0.26711,0.88108,0.00406,0.00406,0.00406
44,6245.58,0.65827,0.40815,1.07045,0.99307,0.99612,0.99493,0.94378,0.40064,0.2639,0.87776,0.00391857,0.00391857,0.00391857
45,6388.55,0.64985,0.40112,1.06642,0.99308,0.99706,0.99494,0.94506,0.39567,0.26155,0.87609,0.00377714,0.00377714,0.00377714
46,6530.84,0.6409,0.39536,1.0627,0.99407,0.9964,0.99494,0.94658,0.39065,0.25875,0.87329,0.00363571,0.00363571,0.00363571
47,6673.67,0.63412,0.39181,1.05772,0.99445,0.99614,0.99495,0.94837,0.38589,0.25496,0.87102,0.00349429,0.00349429,0.00349429
48,6816.23,0.62609,0.38929,1.05351,0.99524,0.99691,0.99496,0.94904,0.3834,0.2517,0.86951,0.00335286,0.00335286,0.00335286
49,6958.43,0.62448,0.38324,1.04714,0.99597,0.99691,0.99497,0.95075,0.3795,0.25041,0.86704,0.00321143,0.00321143,0.00321143
50,7100.75,0.61181,0.3762,1.04661,0.99563,0.99713,0.99497,0.95163,0.37622,0.24911,0.86558,0.00307,0.00307,0.00307
51,7242.86,0.6039,0.37405,1.04134,0.99533,0.99768,0.99497,0.95307,0.37302,0.24684,0.8636,0.00292857,0.00292857,0.00292857
52,7385.41,0.59735,0.3688,1.03275,0.9964,0.99736,0.99497,0.95427,0.36908,0.24532,0.86153,0.00278714,0.00278714,0.00278714
53,7527.75,0.59511,0.36468,1.03067,0.99615,0.99749,0.99498,0.95418,0.36671,0.24414,0.8603,0.00264571,0.00264571,0.00264571
54,7669.66,0.58288,0.36106,1.02939,0.99629,0.99691,0.99497,0.95516,0.36367,0.24224,0.85874,0.00250429,0.00250429,0.00250429
55,7812.21,0.57902,0.35895,1.02334,0.9964,0.99697,0.99498,0.95532,0.36062,0.24125,0.85741,0.00236286,0.00236286,0.00236286
56,7954.3,0.57045,0.35393,1.02168,0.9964,0.99715,0.99497,0.95589,0.35824,0.23972,0.85641,0.00222143,0.00222143,0.00222143
57,8096.88,0.5647,0.34839,1.02093,0.9964,0.99693,0.99498,0.95709,0.35544,0.23791,0.8552,0.00208,0.00208,0.00208
