epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,170.034,0.58041,0.60136,0.94926,0.95008,0.95227,0.97331,0.84069,0.53604,0.48147,0.90244,0.000494885,0.000494885,0.000494885
43,173.911,0.59728,0.62742,0.94233,0.95894,0.95626,0.97711,0.84926,0.5435,0.458,0.90281,0.000486639,0.000486639,0.000486639
44,177.862,0.56944,0.60131,0.94399,0.96375,0.9463,0.9777,0.857,0.5499,0.44921,0.91095,0.000478392,0.000478392,0.000478392
45,181.842,0.55074,0.57283,0.93233,0.96349,0.966,0.97628,0.85042,0.55568,0.47258,0.91703,0.000470145,0.000470145,0.000470145
46,185.824,0.5935,0.60591,0.94759,0.93412,0.96638,0.98328,0.85387,0.5596,0.45489,0.913,0.000461898,0.000461898,0.000461898
47,189.825,0.58231,0.57622,0.93488,0.96562,0.98093,0.98764,0.86506,0.52503,0.4392,0.89537,0.000453652,0.000453652,0.000453652
48,193.919,0.56023,0.5818,0.94895,0.96894,0.96865,0.98554,0.86227,0.53533,0.42487,0.90359,0.000445405,0.000445405,0.000445405
49,197.857,0.53951,0.56398,0.92751,0.97474,0.97306,0.98456,0.87254,0.55032,0.426,0.91777,0.000437158,0.000437158,0.000437158
50,201.874,0.5355,0.57215,0.92159,0.96616,0.97236,0.98599,0.86296,0.55515,0.4087,0.91672,0.000428912,0.000428912,0.000428912
51,205.857,0.52279,0.52297,0.92519,0.92464,0.95933,0.97452,0.86045,0.53312,0.43005,0.90521,0.000420665,0.000420665,0.000420665
52,209.776,0.5308,0.52974,0.92848,0.96418,0.96697,0.97591,0.8671,0.51746,0.40559,0.89046,0.000412418,0.000412418,0.000412418
53,213.749,0.53313,0.5467,0.9309,0.9674,0.95929,0.97582,0.87639,0.51442,0.41587,0.88299,0.000404172,0.000404172,0.000404172
54,217.706,0.53542,0.52865,0.91879,0.96469,0.96684,0.9817,0.86871,0.52285,0.40224,0.90182,0.000395925,0.000395925,0.000395925
55,221.7,0.52026,0.49942,0.91263,0.97166,0.98924,0.98427,0.85272,0.54188,0.40224,0.91347,0.000387678,0.000387678,0.000387678
56,225.656,0.53099,0.53569,0.92139,0.97775,0.98443,0.98381,0.86383,0.53185,0.40044,0.90449,0.000379431,0.000379431,0.000379431
57,229.565,0.52188,0.51891,0.92372,0.96295,0.98518,0.98447,0.87088,0.51842,0.39885,0.89669,0.000371185,0.000371185,0.000371185
58,233.645,0.50698,0.49454,0.90636,0.97612,0.97903,0.98833,0.86217,0.53734,0.39544,0.90867,0.000362938,0.000362938,0.000362938
